,bedrooms_small,bedrooms_medium,bedrooms_large,view,grade_1.0,grade_3.0,grade_2.0,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,price,kiez_981.0,kiez_980.0
0,1.0,0.0,0.0,0,1.0,0.0,0.0,1180,0,47.5112,-122.257,1340,5650,221900,1.0,0.0
1,1.0,0.0,0.0,0,1.0,0.0,0.0,2170,400,47.721000000000004,-122.319,1690,7639,538000,1.0,0.0
2,1.0,0.0,0.0,0,1.0,0.0,0.0,770,0,47.7379,-122.23299999999999,2720,8062,180000,0.0,1.0
3,0.0,1.0,0.0,0,1.0,0.0,0.0,1050,910,47.5208,-122.39299999999999,1360,5000,604000,1.0,0.0
4,1.0,0.0,0.0,0,0.0,1.0,0.0,1680,0,47.6168,-122.045,1800,7503,510000,0.0,1.0
5,0.0,1.0,0.0,0,0.0,1.0,0.0,3890,1530,47.6561,-122.005,4760,101930,1230000,0.0,1.0
6,1.0,0.0,0.0,0,1.0,0.0,0.0,1715,0,47.3097,-122.32700000000001,2238,6819,257500,0.0,1.0
7,1.0,0.0,0.0,0,1.0,0.0,0.0,1060,0,47.4095,-122.315,1650,9711,291850,1.0,0.0
8,1.0,0.0,0.0,0,1.0,0.0,0.0,1050,730,47.5123,-122.337,1780,8113,229500,1.0,0.0
9,1.0,0.0,0.0,0,1.0,0.0,0.0,1890,0,47.3684,-122.031,2390,7570,323000,0.0,1.0
10,1.0,0.0,0.0,0,0.0,1.0,0.0,1860,1700,47.6007,-122.145,2210,8925,662500,0.0,1.0
11,1.0,0.0,0.0,0,1.0,0.0,0.0,860,300,47.69,-122.292,1330,6000,468000,1.0,0.0
12,1.0,0.0,0.0,0,1.0,0.0,0.0,1430,0,47.7558,-122.229,1780,12697,310000,0.0,1.0
13,1.0,0.0,0.0,0,1.0,0.0,0.0,1370,0,47.6127,-122.045,1370,10208,400000,0.0,1.0
14,0.0,1.0,0.0,0,1.0,0.0,0.0,1810,0,47.67,-122.39399999999999,1360,4850,530000,1.0,0.0
15,0.0,1.0,0.0,3,0.0,0.0,1.0,1980,970,47.5714,-122.375,2140,4000,650000,1.0,0.0
16,1.0,0.0,0.0,0,1.0,0.0,0.0,1890,0,47.7277,-121.962,1890,14018,395000,0.0,1.0
17,0.0,1.0,0.0,0,1.0,0.0,0.0,1600,0,47.6648,-122.34299999999999,1610,4300,485000,1.0,0.0
18,1.0,0.0,0.0,0,1.0,0.0,0.0,1200,0,47.3089,-122.21,1060,5095,189000,0.0,1.0
19,1.0,0.0,0.0,0,1.0,0.0,0.0,1250,0,47.3343,-122.306,1280,8850,230000,0.0,1.0
20,0.0,1.0,0.0,0,1.0,0.0,0.0,860,760,47.7025,-122.34100000000001,1400,4980,385000,1.0,0.0
21,1.0,0.0,0.0,4,0.0,0.0,1.0,2330,720,47.5316,-122.23299999999999,4110,20336,2000000,0.0,1.0
22,0.0,1.0,0.0,0,0.0,1.0,0.0,2270,0,47.3266,-122.169,2240,7005,285000,0.0,1.0
23,1.0,0.0,0.0,0,1.0,0.0,0.0,1070,0,47.3533,-122.166,1220,8386,252700,0.0,1.0
24,1.0,0.0,0.0,0,0.0,1.0,0.0,2450,0,47.3739,-122.17200000000001,2200,6865,329000,0.0,1.0
25,1.0,0.0,0.0,0,1.0,0.0,0.0,1710,0,47.3048,-122.21799999999999,1030,4705,233000,0.0,1.0
26,1.0,0.0,0.0,0,0.0,1.0,0.0,1750,700,47.6386,-122.36,1760,3573,937000,1.0,0.0
27,1.0,0.0,0.0,0,0.0,1.0,0.0,1400,0,47.6221,-122.314,1860,3861,667000,1.0,0.0
28,1.0,0.0,0.0,0,1.0,0.0,0.0,790,730,47.695,-122.304,1520,6235,438000,1.0,0.0
29,0.0,1.0,0.0,0,0.0,1.0,0.0,2570,0,47.7073,-122.11,2630,6026,719000,0.0,1.0
30,1.0,0.0,0.0,0,0.0,1.0,0.0,2320,0,47.5391,-122.07,2580,3980,580500,0.0,1.0
31,1.0,0.0,0.0,0,1.0,0.0,0.0,1190,0,47.7274,-122.35700000000001,1390,1756,280000,1.0,0.0
32,0.0,1.0,0.0,0,1.0,0.0,0.0,1510,820,47.6823,-122.368,1460,5000,687500,1.0,0.0
33,1.0,0.0,0.0,0,0.0,1.0,0.0,1090,0,47.6889,-122.375,1570,5080,535000,1.0,0.0
34,0.0,1.0,0.0,0,1.0,0.0,0.0,1280,780,47.4276,-122.15700000000001,2020,8720,322500,0.0,1.0
35,1.0,0.0,0.0,0,0.0,1.0,0.0,1510,790,47.6827,-122.31,1590,3264,696000,1.0,0.0
36,0.0,1.0,0.0,0,1.0,0.0,0.0,930,730,47.6621,-122.132,2160,11467,550000,0.0,1.0
37,0.0,1.0,0.0,0,0.0,1.0,0.0,2360,0,47.6702,-122.36200000000001,1730,4700,640000,1.0,0.0
38,0.0,1.0,0.0,0,1.0,0.0,0.0,890,330,47.3341,-122.28200000000001,1290,7800,240000,0.0,1.0
